Number of Matrix	Parallel TSP cost	Parallel cycle
15	1503	0 87 7 33 10 69 73 94 88 50 76 85 12 31 81 35 24 72 74 67 90 13 34 78 39 56 14 89 95 53 79 4 80 97 37 62 83 92 61 29 68 42 47 28 9 46 86 71 77 98 16 22 54 17 3 1 75 91 51 66 63 55 23 38 18 41 25 15 82 52 60 96 11 59 43 19 5 20 26 57 8 40 2 32 21 84 30 44 65 36 27 49 64 6 93 58 48 45 70 
16	1866	0 83 69 13 19 51 34 90 70 91 50 86 60 20 95 94 68 61 78 64 75 12 77 63 73 7 57 87 26 41 42 54 45 2 76 66 62 67 89 49 96 55 1 98 25 29 3 84 79 22 14 72 74 18 38 17 4 59 65 9 37 71 36 85 88 30 6 27 28 11 52 40 92 46 53 56 58 23 24 39 43 81 35 44 97 16 93 10 80 5 15 48 8 47 21 31 33 82 32 
17	1417	0 26 52 5 21 86 13 58 71 25 91 30 47 2 62 29 44 76 97 69 42 17 19 83 33 88 79 60 85 40 10 36 90 11 23 98 74 57 95 61 18 93 72 77 43 84 35 3 24 70 16 1 34 37 28 73 96 38 9 14 59 75 53 7 64 68 66 41 6 4 63 51 32 87 81 8 94 67 89 46 48 80 65 45 31 78 12 15 20 22 56 27 92 49 82 54 55 50 39 
18	1817	0 79 97 18 71 77 87 34 83 30 10 55 50 48 95 75 84 7 47 33 80 91 89 1 6 23 14 21 32 16 24 46 12 57 3 61 45 27 38 17 26 94 41 13 90 70 73 11 58 85 81 59 28 44 4 63 25 88 36 29 64 86 35 92 76 67 60 96 31 66 43 51 9 15 68 37 49 98 53 19 56 78 74 2 72 82 69 40 93 54 62 39 65 5 52 22 42 8 20 
19	1803	0 71 21 70 14 69 38 7 45 89 4 84 68 83 59 18 50 44 2 26 52 91 28 5 1 74 30 15 62 75 77 32 81 23 43 95 42 79 12 22 80 9 3 65 53 67 13 66 78 39 85 86 93 24 8 64 34 97 29 17 48 36 35 63 16 11 96 49 20 41 60 19 90 54 82 10 76 56 57 73 31 47 55 94 27 33 51 25 58 72 40 6 87 46 92 98 37 88 61 
20	1650	2 22 63 80 26 77 55 30 50 23 33 92 28 97 66 36 49 76 83 86 32 78 98 82 54 73 27 38 79 4 70 56 52 61 89 24 71 51 11 18 9 47 62 10 16 13 68 43 45 46 67 17 57 8 29 3 15 53 42 40 88 84 20 6 19 1 7 34 69 41 44 93 31 81 60 90 95 91 35 58 72 39 94 96 21 0 75 5 65 25 37 87 12 14 74 48 64 59 85 
21	1604	0 9 45 5 28 63 54 85 79 14 33 7 70 27 1 83 91 35 56 31 84 8 81 49 20 98 2 57 72 87 10 90 36 59 71 64 55 76 39 68 32 26 34 23 13 25 66 96 12 88 65 21 44 58 60 67 3 94 22 86 41 73 17 80 24 77 29 82 18 48 78 38 4 97 95 93 47 74 11 61 51 15 30 40 69 89 37 53 92 42 46 43 16 50 75 52 19 62 6 
22	1769	0 49 50 58 53 73 38 46 27 80 83 29 65 57 41 93 44 17 55 78 67 37 75 16 87 62 13 39 64 28 60 54 92 5 94 1 85 42 69 89 10 90 40 91 32 66 26 24 2 63 71 20 95 6 74 82 72 9 4 86 81 84 97 88 31 25 14 15 21 7 79 34 68 23 19 45 36 30 61 51 70 11 43 59 47 76 22 18 96 48 56 3 35 12 33 77 98 52 8 
23	1585	1 40 37 38 13 91 39 3 66 15 62 48 67 29 12 73 92 77 57 89 28 85 69 75 9 97 24 88 52 27 87 11 93 25 79 4 36 10 78 30 20 68 83 82 0 96 17 60 42 53 41 7 61 80 33 22 32 5 76 54 19 98 46 14 64 35 50 95 58 23 51 2 63 31 70 18 43 59 6 86 49 21 55 94 56 71 65 72 8 84 45 44 81 16 90 34 26 47 74 
24	1696	0 19 87 30 40 12 24 29 37 75 16 17 84 15 47 90 95 52 43 86 44 56 48 7 60 72 32 1 3 10 38 89 11 31 65 71 53 81 54 76 50 23 96 73 78 6 2 35 21 13 59 63 18 58 91 85 82 88 70 69 92 46 83 62 77 57 79 25 34 41 64 14 36 67 55 27 66 26 5 4 33 98 61 97 68 9 51 93 49 28 94 74 22 39 8 42 45 80 20 
25	1605	1 40 54 61 91 3 65 45 58 41 53 78 38 25 77 87 80 6 95 12 98 0 36 96 59 27 81 14 9 90 44 51 2 75 48 20 55 30 86 46 62 37 7 68 84 42 11 66 31 5 57 49 35 47 60 4 70 67 17 22 16 33 18 89 34 24 88 28 23 19 83 94 97 64 15 72 76 69 39 93 73 21 8 29 26 52 63 85 43 32 74 13 10 79 56 92 50 71 82 
26	1827	0 34 62 76 50 45 83 49 32 79 13 53 61 64 95 20 94 97 26 89 54 7 74 82 35 43 48 69 93 15 2 98 78 86 18 68 23 30 80 70 71 19 52 91 16 47 37 87 10 33 46 24 9 90 44 81 12 66 14 8 21 77 60 31 63 57 25 11 29 75 55 58 96 41 36 92 59 72 5 84 51 65 40 28 3 85 27 4 1 88 6 22 17 42 73 56 38 39 67 
27	1469	0 1 12 47 77 55 34 19 73 20 10 30 24 35 67 83 54 59 49 26 75 93 18 58 87 25 15 38 74 97 79 42 23 63 46 89 2 95 32 13 45 50 51 52 91 8 72 29 11 68 3 60 64 80 70 14 27 41 9 21 48 33 86 85 31 88 78 44 7 53 28 57 17 94 37 84 96 81 90 4 61 92 39 65 36 98 56 16 40 6 76 22 69 82 66 5 71 62 43 
28	1750	0 89 54 79 66 29 96 49 86 39 83 18 22 50 44 21 94 45 27 64 35 10 84 19 9 70 40 43 78 13 26 76 33 4 73 65 15 60 88 92 51 48 58 14 12 41 11 31 85 38 3 93 62 80 16 90 59 24 17 87 91 5 74 68 55 97 8 77 23 82 36 53 34 67 81 6 72 28 98 75 57 63 20 32 37 2 61 71 42 56 7 69 30 95 1 47 46 25 52 
