Number of Matrix	Parallel TSP cost	Parallel cycle
67	1796	0 28 16 89 47 70 61 43 86 27 31 10 80 11 50 78 12 98 5 60 94 57 69 49 73 92 63 1 38 58 67 29 52 75 2 34 46 33 7 87 53 18 97 88 44 96 64 24 95 3 74 48 14 19 85 15 41 51 90 54 84 17 8 9 20 32 82 40 91 79 56 42 45 77 23 25 68 4 55 71 72 62 39 93 21 83 36 26 13 59 37 22 6 81 76 30 65 66 35 
68	1805	1 91 67 20 8 3 73 85 47 98 56 72 40 22 93 84 71 76 58 27 64 42 95 90 62 66 51 63 29 33 17 43 19 21 18 89 28 48 86 31 78 50 14 23 57 59 38 36 60 96 39 55 75 26 61 97 53 80 41 69 7 0 12 52 54 87 4 15 10 25 74 77 35 16 2 24 94 32 49 70 82 88 45 30 81 68 5 9 83 65 11 13 34 79 92 6 37 46 44 
69	2093	1 74 78 49 72 93 29 43 59 87 40 96 12 30 48 34 13 10 3 95 54 88 85 16 90 46 25 39 62 14 77 4 91 61 86 20 22 50 11 80 75 73 69 45 52 71 57 97 58 64 94 84 47 5 63 9 82 2 27 51 89 60 21 38 98 19 68 65 66 42 36 31 26 28 76 79 7 92 44 70 0 55 15 17 81 6 18 41 67 56 37 83 24 33 35 23 53 8 32 
70	1718	4 81 80 46 45 5 95 50 28 90 67 98 75 30 96 74 38 70 78 44 37 52 49 83 16 10 9 21 23 77 3 57 63 72 43 89 56 14 73 31 86 97 19 15 54 94 22 6 42 7 59 93 8 39 66 35 62 0 18 68 88 53 87 2 20 51 24 33 32 61 13 26 36 11 82 65 69 40 17 79 41 71 48 27 29 58 60 55 47 12 76 1 34 91 84 25 85 92 64 
71	1780	1 2 96 52 91 35 63 57 3 82 61 4 7 60 14 92 51 73 19 12 65 5 48 41 18 10 16 78 95 33 26 6 24 44 47 93 86 40 50 67 66 94 68 34 15 70 72 98 23 77 53 90 64 89 75 88 84 97 45 8 42 58 21 25 0 20 85 55 36 71 28 74 83 39 43 37 13 79 69 54 76 62 38 32 17 59 80 56 27 31 49 87 29 9 81 30 11 46 22 
72	1943	0 88 7 70 62 36 47 92 39 83 76 79 77 60 23 57 9 86 44 82 84 96 93 94 55 97 24 26 85 21 29 74 12 4 73 42 43 52 80 49 25 6 27 11 16 53 5 18 40 63 89 58 68 95 34 22 65 15 2 13 90 30 32 41 28 19 81 61 72 98 67 78 64 69 8 48 75 59 14 31 50 37 33 38 45 54 56 87 35 10 17 3 71 20 66 46 1 91 51 
73	1519	0 34 75 9 7 97 72 58 86 8 48 40 50 91 83 93 51 17 33 23 37 52 15 13 35 46 90 45 1 2 12 47 78 70 27 69 95 20 57 6 26 39 68 98 60 25 3 80 94 31 5 61 84 76 73 36 4 42 85 38 53 24 54 55 65 32 71 92 81 63 96 10 87 21 49 30 88 19 11 56 28 16 41 74 22 82 89 66 67 14 77 59 29 79 43 64 62 18 44 
74	1697	3 93 71 92 29 69 60 2 21 91 84 97 65 20 33 22 63 42 59 41 47 64 11 16 1 37 86 70 44 96 45 27 66 77 38 7 9 13 4 95 43 76 24 57 54 5 82 80 36 17 32 31 68 79 48 56 78 6 19 39 35 14 50 30 90 94 12 46 15 55 85 74 81 87 75 28 26 61 0 51 40 62 18 53 83 10 58 25 52 73 88 8 98 23 72 67 34 89 49 
75	1667	0 17 28 36 14 53 88 39 33 86 61 55 98 63 42 59 6 73 16 8 45 72 78 21 82 25 71 22 54 60 93 87 2 10 80 29 44 11 94 66 13 47 75 41 85 32 1 31 48 65 26 52 95 5 96 7 56 89 40 68 20 64 79 34 67 50 92 81 57 37 46 18 4 83 84 19 30 43 27 9 3 70 74 76 69 23 35 38 58 15 91 51 62 77 12 24 90 49 97 
76	1737	0 90 64 55 89 92 28 59 22 56 44 27 12 26 81 87 57 69 32 39 9 7 97 18 79 60 19 2 48 70 78 1 11 52 10 35 65 50 4 21 25 36 5 74 33 30 95 96 93 84 31 24 38 91 75 29 23 58 73 43 34 13 66 16 3 72 42 20 54 62 45 98 71 47 80 67 88 17 85 37 14 41 6 77 40 82 46 86 15 68 76 49 53 51 63 94 83 8 61 
77	1734	0 44 35 51 81 42 53 1 48 75 3 24 18 12 32 67 14 54 98 28 22 49 52 66 10 62 68 87 46 90 16 89 63 96 26 25 57 86 71 21 84 30 59 2 47 39 50 77 23 65 38 9 82 56 6 69 5 15 27 34 61 29 64 80 78 37 7 95 74 73 41 60 45 79 19 97 88 43 85 76 94 4 93 55 58 72 13 40 36 83 91 92 17 31 11 20 33 8 70 
78	1631	0 17 37 52 24 25 39 64 73 43 46 8 45 77 35 19 75 60 85 62 7 96 34 32 18 53 42 5 88 95 70 54 71 10 79 61 78 4 38 72 30 36 81 21 56 69 86 27 23 12 57 83 2 82 9 28 98 65 41 16 13 84 15 55 93 94 58 80 22 89 6 40 87 26 50 66 20 90 3 59 47 31 76 97 68 44 48 67 63 92 49 91 14 1 74 51 29 11 33 
79	1656	0 56 95 70 84 3 65 88 18 34 53 20 63 77 61 11 24 28 68 60 51 13 39 10 35 97 69 96 81 75 45 38 82 8 47 26 46 92 67 52 90 78 50 32 85 48 42 17 33 1 57 5 83 71 80 76 64 21 37 16 98 31 27 89 23 29 49 36 87 25 74 66 91 30 86 94 9 15 22 59 58 4 55 62 93 72 14 73 43 44 54 7 6 2 41 79 19 12 40 
80	1663	0 16 42 43 95 33 9 20 1 82 88 96 38 36 49 67 15 4 93 61 90 74 71 45 40 13 7 29 54 2 53 58 19 11 72 62 98 80 12 52 47 77 83 5 24 57 69 79 28 46 50 75 94 87 18 35 78 85 23 3 48 32 51 97 30 44 26 73 8 34 64 39 59 27 14 68 37 21 81 31 84 22 56 41 6 65 89 86 66 91 70 55 60 17 10 76 63 25 92 
81	1665	0 31 14 87 6 98 37 55 42 17 27 88 35 1 90 57 12 34 4 2 97 74 40 8 84 59 80 82 89 79 54 21 16 94 60 96 48 18 91 78 51 81 25 47 22 66 73 50 67 29 64 76 83 53 52 93 49 72 13 68 24 75 11 9 39 69 61 28 62 95 33 43 19 56 77 30 41 15 5 3 36 70 44 23 65 71 86 45 85 63 10 7 26 92 32 38 58 20 46 
82	1685	0 51 56 70 84 66 71 54 49 55 91 32 52 17 68 27 81 41 46 48 29 28 43 39 47 63 73 35 89 13 22 58 86 25 14 11 33 45 75 19 4 1 3 38 98 62 12 74 83 92 80 95 53 34 23 94 42 59 65 6 90 16 76 10 20 18 96 7 30 72 5 88 85 60 50 69 77 37 24 2 31 26 36 93 82 97 78 15 21 67 64 8 79 44 40 87 9 57 61 
83	1542	4 30 47 26 24 13 82 80 32 17 68 83 29 65 93 50 40 75 34 96 2 59 72 66 53 57 94 22 49 88 90 78 81 95 9 27 5 70 48 60 14 97 39 33 92 23 67 77 62 45 98 84 18 43 15 51 7 20 21 89 38 11 6 28 1 63 76 58 85 46 8 74 16 79 35 86 52 71 42 10 61 0 41 36 69 37 64 44 55 87 3 56 12 31 91 25 19 73 54 
84	1723	0 75 37 3 34 76 61 63 43 28 92 2 29 62 91 33 65 22 90 14 78 79 5 49 74 15 26 19 23 38 51 97 73 96 30 67 9 4 53 70 27 17 50 85 31 45 71 83 11 24 10 6 21 13 84 64 41 25 57 72 1 36 8 40 98 60 47 52 89 55 32 68 80 86 77 46 12 18 7 95 20 39 81 54 94 56 87 93 69 58 88 82 44 35 48 42 16 66 59 
85	1730	0 48 4 73 31 85 9 66 79 34 19 8 45 47 86 2 61 72 70 87 21 50 49 41 69 97 88 37 32 59 71 1 26 38 24 29 62 84 14 39 11 81 65 78 20 82 22 12 93 25 51 46 92 83 77 80 63 67 64 74 53 57 15 10 35 94 89 30 60 3 40 13 7 98 36 95 23 54 56 33 76 16 43 28 6 96 75 90 58 91 44 18 5 52 42 55 68 17 27 
86	1535	0 17 72 66 14 59 33 91 76 79 10 65 90 81 73 75 3 58 97 5 89 26 15 68 54 8 62 45 9 42 35 34 23 98 47 24 95 87 57 38 28 83 55 84 61 37 13 43 82 1 51 20 18 40 32 60 93 30 36 6 77 69 67 88 11 53 64 56 21 44 94 50 29 7 16 49 78 92 71 25 39 85 41 2 22 96 27 46 86 80 31 74 12 4 63 19 52 70 48 
87	1520	1 92 26 73 59 83 5 19 10 66 84 48 40 12 68 47 82 42 20 34 60 62 70 71 13 97 32 9 96 72 8 23 11 61 28 88 52 6 17 51 22 98 54 38 85 0 36 3 15 95 4 46 31 79 39 86 49 57 53 27 37 29 77 80 45 44 78 67 87 30 14 24 69 21 76 43 7 89 50 35 65 91 56 81 90 16 93 2 18 55 58 41 74 64 75 63 94 33 25 
88	1833	1 58 12 87 85 50 13 34 22 18 86 21 2 37 3 60 74 38 42 79 49 52 61 94 48 14 31 33 66 64 36 70 62 40 89 84 47 97 46 23 83 78 63 88 90 67 11 73 27 9 45 35 68 7 5 10 96 26 54 65 28 56 39 0 72 95 77 93 4 71 32 8 16 44 59 92 53 76 81 69 17 24 30 75 15 41 43 80 57 55 19 25 82 98 51 29 20 91 6 
89	1528	0 66 55 11 76 27 87 9 32 70 3 4 85 10 6 51 65 17 5 18 39 91 37 69 1 22 28 68 61 77 83 58 64 42 94 47 88 13 44 62 26 74 24 36 29 46 81 35 63 95 67 25 73 71 20 8 50 80 31 78 2 92 59 30 49 57 16 43 21 54 41 33 72 15 97 60 23 53 96 82 7 86 40 14 45 98 52 19 79 34 89 90 38 75 56 84 48 12 93 
90	1803	0 76 28 94 80 2 84 30 27 92 58 8 39 42 10 53 3 19 49 17 61 1 44 35 34 29 48 66 98 56 83 43 57 65 63 11 4 23 45 75 79 18 60 25 6 86 85 24 32 50 33 69 9 41 37 71 12 68 91 73 96 70 90 77 95 13 20 72 88 46 67 87 31 5 15 22 74 38 59 78 26 97 93 81 82 52 54 62 51 55 7 47 36 16 64 40 21 14 89 
91	1749	2 70 92 74 91 16 19 11 17 33 93 87 3 48 46 34 5 96 7 75 69 76 72 85 65 50 45 68 83 14 37 51 55 29 12 39 66 71 27 82 22 13 77 35 1 95 53 0 56 38 59 61 84 26 18 57 25 43 23 89 24 47 42 79 73 64 28 4 94 9 41 78 88 31 98 8 62 44 86 6 52 20 81 80 40 63 67 32 15 90 10 36 49 54 21 97 58 30 60 
92	1945	0 39 34 89 93 33 80 96 24 20 62 15 73 58 67 42 74 78 27 84 75 12 1 87 65 2 45 3 56 10 35 47 31 18 25 51 54 61 37 44 32 5 66 19 79 97 29 88 22 91 98 64 23 86 90 57 41 36 50 60 92 9 14 38 8 59 72 43 4 82 11 55 81 7 17 48 95 28 53 85 30 69 83 49 68 26 94 46 71 77 13 70 63 6 40 52 21 16 76 
93	1712	1 2 14 21 7 41 68 78 5 73 72 90 50 57 88 34 69 75 52 83 43 67 91 49 32 80 20 56 16 6 64 25 70 95 94 62 39 59 13 51 22 96 61 15 60 44 8 84 3 27 63 38 45 29 97 11 65 53 71 12 24 55 58 47 9 79 18 86 37 17 46 74 36 92 26 66 85 93 28 42 54 77 81 98 4 89 31 23 76 40 48 33 19 10 87 0 30 35 82 
94	1666	3 85 55 81 74 80 23 38 35 0 64 10 59 68 95 11 29 41 12 30 40 34 16 17 20 4 94 67 2 7 22 71 65 25 87 31 26 1 77 92 84 83 53 19 56 79 32 36 86 42 58 45 52 57 61 27 90 93 6 49 46 50 9 70 96 33 63 51 75 44 54 13 14 28 98 73 72 66 8 37 24 48 78 39 43 91 5 82 21 69 89 18 47 88 15 60 76 62 97 
95	1814	0 6 21 47 39 9 81 34 61 83 72 50 71 95 90 91 68 17 86 23 56 55 85 19 31 92 78 52 43 4 62 74 53 15 66 32 3 77 48 27 57 82 10 96 63 35 73 30 80 76 25 87 59 7 93 20 46 94 54 13 26 37 38 44 65 14 5 16 79 70 22 88 69 58 45 33 11 18 41 84 12 67 36 29 75 8 24 1 42 2 49 40 28 60 89 98 51 64 97 
96	2029	0 22 52 10 41 53 13 81 25 33 47 56 82 37 43 17 84 8 9 28 46 1 39 51 73 21 23 86 63 32 94 24 71 64 12 20 14 66 45 49 5 7 55 40 68 31 97 62 3 30 16 34 96 77 54 57 83 72 18 6 60 65 92 29 11 76 85 59 75 87 98 19 89 74 67 36 69 91 15 2 95 80 26 61 79 4 90 27 42 93 44 78 35 50 88 38 48 58 70 
97	1327	0 31 69 79 96 64 82 5 26 53 11 70 95 16 67 61 88 24 86 47 46 22 91 40 59 84 62 21 71 73 74 49 1 52 85 48 29 15 90 17 12 81 65 25 27 20 42 50 55 76 32 94 78 8 2 89 10 80 35 36 93 28 30 44 56 33 4 83 7 75 63 6 77 87 60 98 45 37 54 13 41 38 23 19 34 68 18 72 97 51 92 57 14 9 3 58 66 39 43 
98	1597	0 26 43 68 66 58 74 28 56 59 11 57 79 50 45 71 95 80 25 41 40 94 3 90 29 77 89 84 27 22 63 31 83 8 54 19 48 1 87 64 38 98 85 30 21 81 33 93 12 49 53 36 52 37 65 34 10 73 23 70 13 67 39 61 15 78 16 14 5 51 97 92 4 2 46 96 88 75 6 32 72 69 42 18 17 86 24 35 20 62 82 47 91 44 9 60 55 7 76 
99	1369	2 40 47 59 44 25 27 14 82 21 73 77 57 9 76 97 36 37 28 91 13 98 1 87 75 71 3 12 11 64 17 66 15 84 83 16 80 72 19 93 54 50 26 58 33 55 10 65 90 46 0 5 23 6 61 53 88 32 70 69 41 42 43 7 74 29 31 60 22 81 78 45 4 34 52 20 86 24 30 96 39 56 79 51 38 85 18 68 63 8 67 94 49 95 35 89 92 62 48 
